"","ISO","year","meanHumid","meanHumid2","medHumid","medHumid2","meanPET","medPET","cubM_precip"
"1384","IOT","1995",1.35656357493195,1.35656357493195,1.20678729793105,1.20678729793105,148.062595367432,152.710418701172,207064688.350642
"1385","IOT","2000",1.35656357493195,1.35656357493195,1.20678729793105,1.20678729793105,148.062595367432,152.710418701172,207064688.350642
"1386","IOT","2005",1.35656357493195,1.35656357493195,1.20678729793105,1.20678729793105,148.062595367432,152.710418701172,207064688.350642
"1387","IRL","1901",4.51353093788633,4.51353093788633,2.06592044359039,2.06592044359039,54.9688059421455,48.7803783416748,2937953343.30956
"1388","IRL","1910",4.62594588905839,4.62594588905839,1.58739213298073,1.58739213298073,54.5669306299222,49.2547912597656,3160022980.35136
"1389","IRL","1920",4.74152245059053,4.74152245059053,2.00265561134943,2.00265561134943,54.5938209422729,49.130220413208,3415236217.37538
"1390","IRL","1930",4.86462133625197,4.86462133625197,1.83158994889862,1.83158994889862,54.8527762012662,49.2000999450684,3414178682.21691
"1391","IRL","1940",4.96422817037805,4.96422817037805,1.67084467064243,1.67084467064243,56.1892501295738,49.892972946167,3135990538.75037
"1392","IRL","1950",4.4442302389846,4.4442302389846,2.11251447747178,2.11251447747178,55.8926192866931,50.6292915344238,3379744805.88338
"1393","IRL","1960",5.6544088915345,5.6544088915345,2.10495902710463,2.10495902710463,55.367173567508,49.1108818054199,3716483128.64325
"1394","IRL","1970",4.32668788157643,4.32668788157643,1.7110396471359,1.7110396471359,53.7416970969746,47.6889686584473,3060593264.08995
"1395","IRL","1980",5.19898486920343,5.19898486920343,2.54230821313063,2.54230821313063,53.93354329673,48.2037944793701,3431445013.95003
"1396","IRL","1985",4.22708659899169,4.22708659899169,2.06123565438665,2.06123565438665,54.3719005907107,49.6892318725586,3321940140.88262
"1397","IRL","1990",5.50446036695118,5.50446036695118,1.24190792248427,1.24190792248427,57.5776068556983,48.53759765625,3362745836.03485
"1398","IRL","1995",5.21458760735294,5.21458760735294,1.5392278844328,1.5392278844328,59.6764994042475,52.4624042510986,3257905463.62044
"1399","IRL","2000",5.49896090088328,5.49896090088328,1.77393529157255,1.77393529157255,57.1208357211179,51.1236667633057,3574894138.13382
"1400","IRL","2005",4.44885907058779,4.44885907058779,1.73718897480024,1.73718897480024,55.070223039801,49.545747756958,3146715109.78272
"1401","IRN","1901",0.201821451984957,0.201821451984957,0.0938339581972453,0.0938339581972453,131.181390503205,130.402481079102,8856131741.01333
"1402","IRN","1910",0.28466506628196,0.28466506628196,0.0703525724883174,0.0703525724883174,126.788050962499,124.218067169189,10574629453.0942
"1403","IRN","1920",0.380270962510695,0.380270962510695,0.111803049646471,0.111803049646471,127.308666521103,126.142265319824,13240133876.4285
"1404","IRN","1930",0.304882433445005,0.304882433445005,0.104971284429676,0.104971284429676,124.490618655908,121.603141784668,10924073066.633
"1405","IRN","1940",0.278706312356653,0.278706312356653,0.0842924877399614,0.0842924877399614,128.227649893788,126.962825775146,9794266926.86996
"1406","IRN","1950",0.249412826187027,0.249412826187027,0.0427886322893197,0.0427886322893197,125.524671482903,126.076652526855,8357957333.5147
"1407","IRN","1960",0.187643082525748,0.187643082525748,0.044636859800045,0.044636859800045,128.657436575421,123.205337524414,8018438939.507
"1408","IRN","1970",0.209735289744343,0.209735289744343,0.0285707193691887,0.0285707193691887,131.675486525458,131.536079406738,7679675763.88401
"1409","IRN","1980",0.306194930420554,0.306194930420554,0.0488584483649612,0.0488584483649612,133.739858940251,133.69450378418,10138612357.9615
"1410","IRN","1985",0.236246823036623,0.236246823036623,0.0247968229802497,0.0247968229802497,130.785069431914,132.635589599609,7531681200.6554
"1411","IRN","1990",0.213805473855143,0.213805473855143,0.0275965633187644,0.0275965633187644,132.984859443492,132.419784545898,7409120551.85275
"1412","IRN","1995",0.221534783600675,0.221534783600675,0.0642755718093219,0.0642755718093219,131.303988332495,128.029350280762,10401345325.4942
"1413","IRN","2000",0.25630065593005,0.25630065593005,0.0255338209754186,0.0255338209754186,131.660190874874,132.26399230957,8434126817.52677
"1414","IRN","2005",0.255876181797229,0.255876181797229,0.0966784840363105,0.0966784840363105,131.990811509387,128.69962310791,10103239763.3
"1415","IRQ","1901",0.183244637292679,0.183244637292679,0.0743542614089753,0.0743542614089753,167.317031423251,157.135902404785,2116914022.6434
"1416","IRQ","1910",0.195545427252329,0.195545427252329,0.0756941985675537,0.0756941985675537,161.891332398089,149.412742614746,2228927575.74355
"1417","IRQ","1920",0.221978193486343,0.221978193486343,0.0752798153768798,0.0752798153768798,164.575916122096,154.356315612793,2438056247.28644
"1418","IRQ","1930",0.179426396681097,0.179426396681097,0.0569690141046829,0.0569690141046829,167.049196706262,154.411010742188,2033409983.32665
"1419","IRQ","1940",0.202938809363706,0.202938809363706,0.0768304229731826,0.0768304229731826,168.418027379716,155.877548217773,2371648793.29985
"1420","IRQ","1950",0.226231993691216,0.226231993691216,0.0451627396324322,0.0451627396324322,163.885858016421,155.195327758789,2311400459.50585
"1421","IRQ","1960",0.126893009572503,0.126893009572503,0.0126815977475947,0.0126815977475947,168.774157834608,154.235153198242,1432968690.43138
"1422","IRQ","1970",0.158598267593814,0.158598267593814,0.0154199709537763,0.0154199709537763,169.890282177186,158.106239318848,1590428370.64132
"1423","IRQ","1980",0.230349898384872,0.230349898384872,0.0161899796273643,0.0161899796273643,167.385036571081,153.510696411133,2355893095.53167
"1424","IRQ","1985",0.200589985373267,0.200589985373267,0.021960311198589,0.021960311198589,170.708673249844,161.078056335449,2084665326.41888
"1425","IRQ","1990",0.143297223087127,0.143297223087127,0.0316255939209471,0.0316255939209471,173.243526248045,162.02033996582,1750387501.79851
"1426","IRQ","1995",0.13121300715243,0.13121300715243,0.0200953919268335,0.0200953919268335,170.796143971672,158.544471740723,1679553265.29222
"1427","IRQ","2000",0.199501860838923,0.199501860838923,0.0302385000010028,0.0302385000010028,166.440765879875,151.50252532959,1927815716.39712
"1428","IRQ","2005",0.17219423203971,0.17219423203971,0.0720813249868895,0.0720813249868895,169.668031761813,159.303276062012,2023027906.7055
"1429","ISL","1901",8247841.44112849,9025939.69029156,1.88287667832391,2.32249547066651,33.1921306790695,25.0168228149414,3606802848.99731
"1430","ISL","1910",721.90394993615,794.379682459384,1.30573630026038,2.45058342525215,32.2995097471022,24.854531288147,3198254618.79397
"1431","ISL","1920",1274.31924130212,1402.25484892692,1.52106438095385,2.69769269261083,32.5321520390536,24.0782747268677,3785573168.04819
"1432","ISL","1930",2974.02206078737,3257.1508329001,2.08681484078289,2.58521507274609,33.7194665033972,24.1922788619995,4619449296.29367
"1433","ISL","1940",6008.98811325227,6586.22949106075,1.93235032361984,2.37946961776648,33.3169116558756,23.913646697998,4025578613.69666
"1434","ISL","1950",18446.5537157223,20186.7946322998,2.15551223581055,2.69771348502474,33.3663600047861,24.6404447555542,4196241008.1531
